Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,79.45,-60.725,180,top
C2,100n,C_0402_1005Metric,81.85,-56.77,180,top
C3,2u2,C_0402_1005Metric,81.85,-55.75,180,top
C4,2u2,C_0402_1005Metric,86.59,-51.895,0,top
C5,2u2,C_0402_1005Metric,83.35,-56.2,90,top
C6,100n,C_0402_1005Metric,94.8,-56.7,90,top
C7,33p C0G,C_0402_1005Metric,97.649965,-56.100035,45,top
C8,33p C0G,C_0402_1005Metric,99.339376,-61.010624,45,top
C9,2u2,C_0402_1005Metric,82.2,-59.45,180,top
C10,100n,C_0402_1005Metric,92.75,-58.075,90,top
C11,2u2,C_0402_1005Metric,93.775,-57.125,90,top
C12,100n,C_0402_1005Metric,75.425,-64.6,0,top
C13,2u2,C_0402_1005Metric,79.75,-59.3,-90,top
C14,100n,C_0402_1005Metric,80.74,-59.3,-90,top
C15,2u2,C_0402_1005Metric,89.425,-51.725,180,top
C16,100n,C_0402_1005Metric,89.125,-53.145,90,top
C17,100n,C_0402_1005Metric,85.125,-64.5,-90,top
C18,100n,C_0402_1005Metric,89.05,-65.07,-90,top
C19,2u2,C_0402_1005Metric,84.15,-64.5,-90,top
C20,10u,C_0603_1608Metric,97.35,-53.575,90,top
C21,100n,C_0402_1005Metric,96.1,-54.075,90,top
C22,10u,C_0603_1608Metric,110.075,-62.8,45,top
C23,100n,C_0402_1005Metric,102.75,-54.05,-90,top
C24,100n,C_0402_1005Metric,103.9,-64.75,90,top
C25,100n,C_0402_1005Metric,105.88,-51.85,0,top
C26,100n,C_0402_1005Metric,106.175,-61.46581,180,top
C27,100n,C_0402_1005Metric,111.75,-58.825,-90,top
C29,2u2,C_0402_1005Metric,105.88,-52.85,0,top
C30,100n,C_0402_1005Metric,73.525,-64.6,0,top
C31,100n,C_0402_1005Metric,75.875,-65.625,180,top
C32,100n,C_0402_1005Metric,72.2,-63.15,-90,top
C33,100n,C_0402_1005Metric,72.2,-57.25,-90,top
C34,2u2,C_0402_1005Metric,71.2,-57.25,-90,top
D1,LED,LED_0603_1608Metric,92.0125,-52.175,180,top
FB1,FB_0603,L_0603_1608Metric,87.1375,-53.15,180,top
J1,DEBUG_PORT,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,73.45,-53.725,0,top
R1,4k7,R_0402_1005Metric,92.75,-54.5,180,top
R2,1k 1%,R_0402_1005Metric,96.089376,-57.660624,-135,top
R3,27R,R_0402_1005Metric,79.25,-56.25,-90,top
R4,27R,R_0402_1005Metric,80.25,-56.25,-90,top
R5,330R,R_0402_1005Metric,94.51,-52,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,88.05,-59.4125,90,top
U2,MCP25625T-E_ML,QFN65P600X600X100-29N,106.875,-57.15581,0,top
U3,XC6206PxxxMR,SOT-23-3,100.1625,-53.55,180,top
U4,W25Q16JVUXIQ_TR,IC_W25Q16JVUXIQ_TR,80.7,-63.15,0,top
U5,SE8650X2-HF,SOT-23-3,106.5,-65.3,0,top
U6,MAX3232,TSSOP-16_4.4x5mm_P0.65mm,75.5,-60.2,0,top
Y2,"12.000 MHz,  C9002 ",Crystal_SMD_3225-4Pin_3.2x2.5mm,98.489376,-58.560624,45,top
